ID,Block,subID,blockStratum,substratum,zone,x,y,centx,centy,long,lat,MGRS
114851_7,114851,7,gen,2,34,357792.2063,1781081.744,357795,1781085,19.67027695,16.10569814,34PCC
114851_8,114851,8,gen,2,34,363784.5489,1772491.096,363795,1772505,19.72686461,16.02849298,34PCC
114851_9,114851,9,gen,2,34,362042.5425,1779074.496,362055,1779075,19.71022105,16.08777592,34PCC
114851_10,114851,10,gen,4,34,361532.8569,1777333.988,361545,1777335,19.70555525,16.07202094,34PCC
116332_1,116332,1,gen,2,33,242657.836,1796125.725,242655,1796115,12.5925202,16.2320439,33QTU
116332_2,116332,2,gen,2,33,245545.574,1796593.385,245535,1796595,12.61939373,16.23668344,33QTU
116332_3,116332,3,gen,2,33,242845.8911,1793940.181,242835,1793955,12.59444004,16.21255342,33QTU
116332_4,116332,4,gen,2,33,246137.2774,1799391.097,246135,1799385,12.62470067,16.26194673,33QTU
116332_5,116332,5,gen,4,33,244172.2885,1801049.248,244185,1801035,12.60628619,16.27664457,33QTU
116332_6,116332,6,gen,2,33,242731.5746,1797046.341,242745,1797045,12.59325944,16.24045339,33QTU
116332_7,116332,7,gen,2,33,240501.4661,1797011.321,240495,1797015,12.57222656,16.2399425,33QTU
116332_8,116332,8,gen,2,33,248211.8185,1795171.485,248205,1795185,12.64450872,16.22422644,33QTU
116332_9,116332,9,gen,2,33,243898.2608,1800321.355,243885,1800315,12.60355976,16.2701096,33QTU
116332_10,116332,10,gen,4,33,247702.4309,1798784.328,247695,1798785,12.63935266,16.25669042,33QTU
119116_1,119116,1,builtnewalert,4,43,508369.3364,1828097.029,508365,1828095,75.07839563,16.53479924,43QEU
119116_2,119116,2,builtnewalert,1,43,501151.495,1825959.863,501165,1825965,75.01091714,16.51555856,43QEU
119116_3,119116,3,builtnewalert,1,43,503870.5421,1830706.191,503865,1830705,75.03622666,16.55840508,43QEU
119116_4,119116,4,builtnewalert,1,43,500191.9873,1821264.283,500205,1821255,75.00192062,16.47298047,43QEU
119116_5,119116,5,builtnewalert,3,43,508831.9081,1827747.55,508845,1827735,75.08289273,16.53154312,43QEU
119116_6,119116,6,builtnewalert,1,43,501756.8697,1822696.91,501765,1822695,75.01653719,16.48599744,43QEU
119116_7,119116,7,builtnewalert,2,43,509066.4665,1825793.711,509055,1825785,75.08485309,16.51391442,43QEU
119116_8,119116,8,builtnewalert,3,43,508246.7957,1828324.09,508245,1828335,75.07727187,16.53696925,43QEU
119116_9,119116,9,builtnewalert,2,43,501636.0194,1829592.366,501645,1829595,75.0154178,16.54837332,43QEU
119116_10,119116,10,builtnewalert,3,43,506283.1659,1829160.708,506295,1829175,75.05899885,16.54456877,43QEU
119116_11,119116,11,builtnewalert,2,43,502675.8584,1823556.126,502665,1823565,75.02497076,16.49386139,43QEU
119116_12,119116,12,builtnewalert,2,43,504898.5623,1830169.002,504885,1830165,75.04578597,16.55352163,43QEU
119116_13,119116,13,builtnewalert,1,43,504071.1024,1824564.729,504075,1824555,75.03818406,16.50280899,43QEU
119116_14,119116,14,builtnewalert,1,43,509164.0255,1827171.305,509175,1827165,75.08598311,16.5263891,43QEU
119116_15,119116,15,builtnewalert,3,43,509851.3458,1826311.918,509865,1826325,75.0924458,16.51879278,43QEU
119116_16,119116,16,builtnewalert,4,43,501230.5712,1826749.769,501225,1826745,75.01147981,16.5226097,43QEU
119116_17,119116,17,builtnewalert,2,43,509702.3457,1823391.154,509715,1823385,75.0910277,16.49221588,43QEU
119116_18,119116,18,builtnewalert,3,43,501014.7849,1821420.821,501015,1821435,75.0095095,16.47460747,43QEU
119116_19,119116,19,builtnewalert,2,43,501131.8188,1822439.836,501135,1822425,75.01063426,16.48355702,43QEU
119116_20,119116,20,builtnewalert,3,43,506389.8782,1825779.789,506385,1825785,75.05983292,16.51392308,43QEU
168365_1,168365,1,oldcrop_short,1,43,449087.0112,2393348.39,449085,2393355,74.50796485,21.6426517,43QDD
168365_2,168365,2,oldcrop_short,1,43,452107.2958,2393189.29,452115,2393175,74.53725076,21.64110959,43QDD
